Student ID,Timestamp,Grade,Please select any of the following that apply to your request:,Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate add #1a],Drop/Add Course Pair #1 [Alternate add #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate add #2a],Drop/Add Course Pair #2 [Alternate add #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate add #3a],Drop/Add Course Pair #3 [Alternate add #3b],Drop/Add Course Pair #4 [Drop #4],Drop/Add Course Pair #4 [Add #4],Drop/Add Course Pair #4 [Alternate add #4a],Drop/Add Course Pair #4 [Alternate add #4b],Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate #1a],Drop/Add Course Pair #1 [Alternate #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate #2a],Drop/Add Course Pair #2 [Alternate #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate #3a],Drop/Add Course Pair #3 [Alternate #3b]
S255,10/23/2023 13:10:45,11,None of these apply,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,,,,,,AR4310 Digital Photography,,,,,,,,,,
S438,10/20/2023 9:53:55,12,None of these apply,MA4044 Calculus II with AP Exam Prep,MA4060 Multivariable Calculus,MA4500 Graph Theory with REX Math,MA4240 Numerical Analysis,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4180 Astrophysics (*R*),PH4150/EE4150 Elements of Satellite Design,PH4120 Physics Core: E&M (Math Intensive) (*M*),CH4120 AP Chemistry (II): Kinetics & Energy,CH4280 Materials Chemistry (*R*),"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4120 AP Chemistry (II): Kinetics & Energy,BI4140 Molecular & Cellular Biol,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4280 Materials Chemistry (*R*),BI4140 Molecular & Cellular Biol,None,AR4110 Painting,AR4100 Drawing,DR4102 Theater Performance Workshop: Unacting and Movement,,,,,,,,
S440,10/26/2023 0:33:18,12,None of these apply,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,EN4440 Philosophy and Literature in the Twentieth Century,EN4300 Creative Writing,BI4030 Environmental Science (*R*),SS4050 AP Psychology,BI4030 Environmental Science (*R*),EN4300 Creative Writing,BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,
S428,10/24/2023 15:29:10,12,None of these apply,,,,,,,,,,,,,,,,,MU4110 Wind Ensemble,,,,,,,,,,,
S197,10/24/2023 17:06:01,11,None of these apply,"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,PA1009 Hiking,PA1007 Pilates & Yoga,,,,,,,,,
S170,10/20/2023 11:22:49,11,I am short scheduled (fewer than 5 core classes),"None - I'm short/over scheduled, PH4020 Physics Core: Mechanics (Math Intensive) (*M*)",BI4030 Environmental Science (*R*),BI4110 Molecular Genetics (*R*),BI4010 Anatomy & Physiology,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),EN4600 Research Experience in the Humanities,SS4050 AP Psychology,HU4420 Digital Humanities,,,,,,,,,,,,,,,,,,,,
S441,10/30/2023 0:31:47,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,HU4440 Film Studies,BI4160 Neuroscience (*R*),CS4200/MA4200 Cryptography,PH4120 Physics Core: E&M (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,,
S442,10/29/2023 14:20:53,12,None of these apply,BI4010 Anatomy & Physiology,EE4560 Circuits,,,,,,,,,,,,,,,,,,,,,,,,,,
S185,10/29/2023 23:57:25,11,None of these apply,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,,,,,,,,,,,,,,,,,,,,,,,,
S022,10/20/2023 12:38:56,11,None of these apply,None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,SS4050 AP Psychology,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,,,,,,,,,,
S443,10/27/2023 22:12:06,12,None of these apply,HU4420 Digital Humanities,EN4470 STEM and the Stage,EN4212 East Asian Studies II,,,,,,,,,,,,,,,,,,,,,,,,,
S147,10/23/2023 12:46:43,11,None of these apply,CS4200/MA4200 Cryptography,CS4040 Game Design and Simulation,CS4020 Web Development,EE4020 Electrical Engineering,,,,,,,,,,,,,PA1020 Fit for Life,None,None,None,,,,,,,,
S445,10/27/2023 14:16:30,12,None of these apply,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,"CS4070/AR4070 Art, Technology, and Computing",,,CN3652 Navigating in Chinese + Global Understanding II,CN4052 Advanced Chinese II,,,,,,,,,,,,MU4310 AP Music Theory,,,,,,,,,,
S447,10/28/2023 19:37:44,12,"I am missing a graduation requirement, I have a block conflict (two classes that meet at the same time)",HU4461 Topics in Humanities II,EN4300 Creative Writing,HU4440 Film Studies,EN4470 STEM and the Stage,PH4150/EE4150 Elements of Satellite Design,MA4050 Modeling with Differential Equations,MA4210 Topics in Civic Mathematics,MA4110 Foundations of Data Science,,,,,,,,,,,,,,,,,,,,
S254,10/22/2023 1:33:49,11,I have a block conflict (two classes that meet at the same time),MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,EE4180 Environmental Engineering,"CS4070/AR4070 Art, Technology, and Computing",CS4020 Web Development,CS4040 Game Design and Simulation,,,,,,,,,PA1020 Fit for Life,None,,,PA1005 Weight Trng/Sprts & Fitness,PA1007 Pilates & Yoga,PA1009 Hiking,,RE1022 College and Career Planning,RE1022 College and Career Planning,,
S299,10/29/2023 17:50:03,11,None of these apply,MA4050 Modeling with Differential Equations,MA4060 Multivariable Calculus,,,,,,,,,,,,,,,,,,,,,,,,,,
S450,10/25/2023 15:10:51,12,None of these apply,MA4230 Complex Systems and Modern Networks,MA4210 Topics in Civic Mathematics,CS4200/MA4200 Cryptography,MA4110 Foundations of Data Science,"HU4300 Whose America? Immigrant Experiences, 1910-present",BI4160 Neuroscience (*R*),BI4200 Immunology (*R*),"HU4410 Critical Race Theory, HU4411 Critical Legal Studies",,,,,,,,,,,,,,,,,,,,
S098,10/27/2023 10:57:31,11,None of these apply,,,,,,,,,,,,,,,,,MU3500 Classical Piano and Guitar,None,None,None,,,,,,,,
S451,10/29/2023 2:29:23,12,None of these apply,CH4120 AP Chemistry (II): Kinetics & Energy,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells","CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells","CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",,,,,,,,,,,,,,MU3500 Classical Piano and Guitar,,,,AR4520 Advanced Studio Art,,,,,,
S330,10/28/2023 23:16:29,11,None of these apply,EE4020 Electrical Engineering,EE4180 Environmental Engineering,EE4180 Environmental Engineering,EE4160 Civil Engineering,,EN4600 Research Experience in the Humanities,EN4600 Research Experience in the Humanities,EN4600 Research Experience in the Humanities,,,,,,,,,,MU3500 Classical Piano and Guitar,MU3500 Classical Piano and Guitar,MU3500 Classical Piano and Guitar,,,,,,,,
S122,10/25/2023 20:48:07,11,None of these apply,None - I'm short/over scheduled,CH3500 Chemistry Core I - Atoms & Molecules,CH4130 Organic Chemistry,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",,CH3500 Chemistry Core I - Atoms & Molecules,,,,,,,,,,,MU4310 AP Music Theory,PA1020 Fit for Life,DR4102 Theater Performance Workshop: Unacting and Movement,RE1020 Financial Planning,MU4310 AP Music Theory,PA1009 Hiking,RE1012 Public Speaking,PA1007 Pilates & Yoga,MU4310 AP Music Theory,DR4102 Theater Performance Workshop: Unacting and Movement,RE1018 Excellence in Leadership,AR4520 Advanced Studio Art
S452,10/25/2023 17:12:49,12,None of these apply,MA4060 Multivariable Calculus,PH4241 AP Physics C: E&M,"PH3920 Waves Sound, and Optics",,CS4040 Game Design and Simulation,EE4540 Statics,EE4560 Circuits,EE4160 Civil Engineering,EN4212 East Asian Studies II,EN4210 African Studies: Modern Africa,EN4470 STEM and the Stage,EN4481 Topics in Literature I,,,,,,,,,,,,,,,,
S344,10/29/2023 19:17:21,11,None of these apply,,,,,,,,,,,,,,,,,PA1020 Fit for Life,PA1007 Pilates & Yoga,PA1020 Fit for Life,PA1020 Fit for Life,,,,,,,,
S184,10/23/2023 22:01:04,11,None of these apply,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),BI4010 Anatomy & Physiology,,,,,,,,,,,,,,,,,,,,,,,,,
S456,10/29/2023 19:45:05,12,None of these apply,MA4240 Numerical Analysis,SS4070 AP Macroeconomics,EE4540 Statics,"CS4070/AR4070 Art, Technology, and Computing",,,,,,,,,,,,,,,,,,,,,,,,
S457,10/21/2023 13:04:31,12,I am missing a graduation requirement,EN4212 East Asian Studies II,HU4411 Critical Legal Studies,HU4400 Black Studies,"HU4490 Women's, Gender, and Sexuality Studies",PH4000 Physics Core: E&M,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells","PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,
S458,10/20/2023 10:59:55,12,"I am short scheduled (fewer than 5 core classes), None of these apply",MA4110 Foundations of Data Science,BI3700 Evolution,BI4200 Immunology (*R*),BI4160 Neuroscience (*R*),,,,,,,,,,,,,RE1018 Excellence in Leadership,RE1020 Financial Planning,,,,,,,,,,
S062,10/29/2023 23:29:51,11,I am short scheduled (fewer than 5 core classes),PH4020 Physics Core: Mechanics (Math Intensive) (*M*),PH3500 Physics Core: Mechanics,,,None - I'm short/over scheduled,MA4014 Calculus Ib with AP Exam Prep,MA4016 Calculus Ib,None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,CH4000 Chemistry Core II - Reactions & Energy,,,,,,,None,MA1012 Calculus Ib Exam Prep,None,None,,,,,,,,
S011,10/22/2023 19:43:53,11,None of these apply,EN4600 Research Experience in the Humanities,EE4160 Civil Engineering,BI4200 Immunology (*R*),BI4140 Molecular & Cellular Biol,,,,,,,,,,,,,,,,,,,,,,,,
S459,10/23/2023 23:03:10,12,None of these apply,CS4040 Game Design and Simulation,BI4030 Environmental Science (*R*),BI3580 Classical Genetics (*M*),"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",,,,,,,,,,,,,None,AR4100 Drawing,,,,,,,,,,
S223,10/20/2023 23:43:07,11,None of these apply,EE4020 Electrical Engineering,PH4241 AP Physics C: E&M,MA4060 Multivariable Calculus,CS4320 Machine Learning,MA4110 Foundations of Data Science,PH4241 AP Physics C: E&M,MA4060 Multivariable Calculus,CS4320 Machine Learning,,,,,,,,,,,,,,,,,,,,
S019,10/26/2023 9:50:28,11,I've been accepted to a Research program,EE4020 Electrical Engineering,EE4540 Statics,CS4320 Machine Learning,BI4010 Anatomy & Physiology,,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,,,,,
S114,10/29/2023 16:35:43,11,None of these apply,,,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,None,None,,,,,,,,
S138,10/23/2023 19:32:07,11,None of these apply,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,,,,,,,,,,,,,,,,,,,,,,
S464,10/22/2023 13:04:59,12,None of these apply,PH4241 AP Physics C: E&M,CS4200/MA4200 Cryptography,"CS4070/AR4070 Art, Technology, and Computing","PH3920 Waves Sound, and Optics",MA4060 Multivariable Calculus,MA4210 Topics in Civic Mathematics,MA4110 Foundations of Data Science,MA4300 Combinatorics and Game Theory,,,,,,,,,,,,,,,,,,,,
S077,10/24/2023 12:13:42,11,None of these apply,PH3500 Physics Core: Mechanics,CH4000 Chemistry Core II - Reactions & Energy,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,PA1020 Fit for Life,PA1005 Weight Trng/Sprts & Fitness,None,None,None,None,None,None,None,None,None,None
S468,10/24/2023 9:49:20,12,None of these apply,MA4210 Topics in Civic Mathematics,BI4200 Immunology (*R*),BI4200 Immunology (*R*),BI4200 Immunology (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S469,10/26/2023 19:51:17,12,None of these apply,EN4470 STEM and the Stage,BI4200 Immunology (*R*),BI4160 Neuroscience (*R*),BI4130 Aquatic Ecology (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S148,10/20/2023 13:26:26,11,None of these apply,AS4052 American Studies II,BI4200 Immunology (*R*),,,SS4050 AP Psychology,AS4052 American Studies II,,,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,PA1005 Weight Trng/Sprts & Fitness,,,,,,,,,,,
S043,10/21/2023 19:59:45,11,None of these apply,,,,,,,,,,,,,,,,,None,MU4120 Jazz Performance Workshop,,,,,,,,,,
S472,10/25/2023 11:45:48,12,None of these apply,EN4212 East Asian Studies II,EN4440 Philosophy and Literature in the Twentieth Century,EN4210 African Studies: Modern Africa,HU4400 Black Studies,,,,,,,,,,,,,,,,,,,,,,,,
S043,10/26/2023 14:48:15,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),EE4540 Statics,PH4150/EE4150 Elements of Satellite Design,EE4160 Civil Engineering,,,,,,,,,,,,,,MU4120 Jazz Performance Workshop,,,,,,,,,,
S474,10/20/2023 10:19:00,12,None of these apply,MA4300 Combinatorics and Game Theory,,BI3700 Evolution,EE4020 Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,
S475,10/27/2023 12:44:35,12,None of these apply,BI4010 Anatomy & Physiology,EN4300 Creative Writing,"BI3580 Classical Genetics (*M*), HU4411 Critical Legal Studies",MA4210 Topics in Civic Mathematics,None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,None - I'm short/over scheduled,,,,None,,,,None,,,,None,,,
S333,10/29/2023 22:16:39,11,None of these apply,CS4200/MA4200 Cryptography,,"CS4070/AR4070 Art, Technology, and Computing",CS4120 Computing for Everyone,,MA4014 Calculus Ib with AP Exam Prep,,,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4000 Physics Core: E&M,,,,,,,,,,,,,,,,,,
S237,10/22/2023 10:36:15,11,None of these apply,,,,,,,,,,,,,,,,,MU4110 Wind Ensemble,None,None,None,,,,,,,,
S477,10/20/2023 14:38:35,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EN4210 African Studies: Modern Africa,BI4160 Neuroscience (*R*),"BI4110 Molecular Genetics (*R*), HU4400 Black Studies",,,,,,,,,,,,,,,,,,,,,,,,
S478,10/23/2023 13:56:09,12,None of these apply,,,,,,,,,,,,,,,,,MU3500 Classical Piano and Guitar,None,None,None,,,,,,,,
S479,10/22/2023 15:54:58,12,I have a block conflict (two classes that meet at the same time),CH4130 Organic Chemistry,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4120 AP Chemistry (II): Kinetics & Energy,CH4280 Materials Chemistry (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S322,10/24/2023 19:13:39,11,None of these apply,EN4600 Research Experience in the Humanities,HU4010 Applications in Entrepreneurship,CS4320 Machine Learning,CS4020 Web Development,,,,,,,,,,,,,,AR4100 Drawing,,,,,,,,,,
S243,10/25/2023 15:18:12,11,None of these apply,,BI4030 Environmental Science (*R*),SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,BI4010 Anatomy & Physiology,,,,,,,,,,,,,,,,,,,,,,,,
S296,10/20/2023 10:54:18,11,"I am missing a graduation requirement, I've been accepted to a Research program",FR4652 Modern French Readings and Media,EE4180 Environmental Engineering,"CS4070/AR4070 Art, Technology, and Computing",EE4520 Biomedical Instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
S219,10/27/2023 12:19:23,11,"I am short scheduled (fewer than 5 core classes), None of these apply",FR3652 Navigating in French II,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
S481,10/24/2023 11:21:36,12,None of these apply,CH4120 AP Chemistry (II): Kinetics & Energy,CH3500 Chemistry Core I - Atoms & Molecules,CH4000 Chemistry Core II - Reactions & Energy,,HU4420 Digital Humanities,HU4440 Film Studies,HU4410 Critical Race Theory,HU4400 Black Studies,EN4481 Topics in Literature I,EN4440 Philosophy and Literature in the Twentieth Century,EN4470 STEM and the Stage,,EE4160 Civil Engineering,"CS4070/AR4070 Art, Technology, and Computing",CS4120 Computing for Everyone,CS4040 Game Design and Simulation,,AR4310 Digital Photography,AR4100 Drawing,AR4110 Painting,,,,,,,,
S129,10/29/2023 11:08:16,11,None of these apply,BI4010 Anatomy & Physiology,BI3700 Evolution,BI4130 Aquatic Ecology (*R*),BI4030 Environmental Science (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S482,10/29/2023 23:16:28,12,I am short scheduled (fewer than 5 core classes),EN4210 African Studies: Modern Africa,CS4120 Computing for Everyone,MA4210 Topics in Civic Mathematics,EE4020 Electrical Engineering,None - I'm short/over scheduled,EE4020 Electrical Engineering,BI4130 Aquatic Ecology (*R*),BI4140 Molecular & Cellular Biol,HU4400 Black Studies,HU4411 Critical Legal Studies,HU4411 Critical Legal Studies,HU4411 Critical Legal Studies,,,,,,,,,,,,,,,,
S056,10/23/2023 18:50:36,11,None of these apply,EN4600 Research Experience in the Humanities,PH3500 Physics Core: Mechanics,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S483,10/29/2023 23:04:59,12,I do not meet the pre-requisite for a class on my schedule,BI4160 Neuroscience (*R*),CS4020 Web Development,EE4020 Electrical Engineering,BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S485,10/27/2023 17:26:01,12,None of these apply,MA4240 Numerical Analysis,EE4020 Electrical Engineering,SS4050 AP Psychology,,,,,,,,,,,,,,,,,,,,,,,,,
S256,10/26/2023 19:01:26,11,None of these apply,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),EN4600 Research Experience in the Humanities,,,,,,,,,,,PA1020 Fit for Life,PA1009 Hiking,PA1007 Pilates & Yoga,,,,,,,,,
S210,10/29/2023 13:14:12,11,None of these apply,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),BI4110 Molecular Genetics (*R*),BI3580 Classical Genetics (*M*),BI4140 Molecular & Cellular Biol,,,,,,,,,,,,,,,,,,,,,,,,
S337,10/28/2023 14:23:36,11,None of these apply,EN4600 Research Experience in the Humanities,BI4200 Immunology (*R*),BI4010 Anatomy & Physiology,BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S486,10/22/2023 17:55:30,12,None of these apply,MA4060 Multivariable Calculus,MA4050 Modeling with Differential Equations,MA4110 Foundations of Data Science,MA4500 Graph Theory with REX Math,,,,,,,,,,,,,,,,,,,,,,,,
S037,10/21/2023 10:03:46,11,None of these apply,EN4600 Research Experience in the Humanities,EN4440 Philosophy and Literature in the Twentieth Century,EN4600 Research Experience in the Humanities,EE4180 Environmental Engineering,,,,,,,,,,,,,,,,,,,,,,,,
S263,10/29/2023 10:47:10,11,I am short scheduled (fewer than 5 core classes),PH4180 Astrophysics (*R*),BI4010 Anatomy & Physiology,PH4120 Physics Core: E&M (Math Intensive) (*M*),,None - I'm short/over scheduled,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),"CS4120 Computing for Everyone, PH4120 Physics Core: E&M (Math Intensive) (*M*)",,,,,,,,,,,,,,,,,,,,,
S211,10/22/2023 22:33:48,11,None of these apply,SS4050 AP Psychology,MA4060 Multivariable Calculus,MA4050 Modeling with Differential Equations,MA4500 Graph Theory with REX Math,,,,,,,,,,,,,,,,,,,,,,,,
S490,10/24/2023 2:03:14,12,None of these apply,EE4180 Environmental Engineering,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120 AP Chemistry (II): Kinetics & Energy,"CS4070/AR4070 Art, Technology, and Computing",CH4120 AP Chemistry (II): Kinetics & Energy,CH4120 AP Chemistry (II): Kinetics & Energy,CH4120 AP Chemistry (II): Kinetics & Energy,,,,,,,,,None,,,,None,,,,None,,,
S491,10/20/2023 10:34:48,12,None of these apply,EN4212 East Asian Studies II,HU4400 Black Studies,HU4440 Film Studies,HU4410 Critical Race Theory,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None,None,None,None,None,None,None,None,None,None,None,None
S492,10/20/2023 9:47:35,12,None of these apply,EN4483 Topics in Literature III,MA4060 Multivariable Calculus,MA4500 Graph Theory with REX Math,EE4520 Biomedical Instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
S055,10/20/2023 10:30:03,11,None of these apply,FR3052 Journeys into French II,EN4600 Research Experience in the Humanities,SS4050 AP Psychology,"HU4490 Women's, Gender, and Sexuality Studies",,,,,,,,,,,,,,,,,,,,,,,,
S146,10/27/2023 20:59:35,11,None of these apply,,,,,,,,,,,,,,,,,None,None,None,None,None,MU4100 Chorale,None,None,None,AR4110 Painting,None,None
S494,10/23/2023 9:59:13,12,None of these apply,MA4240 Numerical Analysis,MA4230 Complex Systems and Modern Networks,MA4510 Research in Mathematics,MA4210 Topics in Civic Mathematics,"HU4490 Women's, Gender, and Sexuality Studies",EN4212 East Asian Studies II,EN4470 STEM and the Stage,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,
S495,10/23/2023 11:00:40,12,I do not meet the pre-requisite for a class on my schedule,BI4160 Neuroscience (*R*),BI4110 Molecular Genetics (*R*),BI4030 Environmental Science (*R*),BI4130 Aquatic Ecology (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S497,10/20/2023 11:09:46,12,None of these apply,None - I'm short/over scheduled,CN4052 Advanced Chinese II,,,,,,,,,,,,,,,,,,,,,,,,,,
S195,10/20/2023 10:27:53,11,None of these apply,SS4050 AP Psychology,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,PA1007 Pilates & Yoga,PA1009 Hiking,,,,,,,,,,
S499,10/25/2023 22:51:09,12,None of these apply,PH4150/EE4150 Elements of Satellite Design,EE4560 Circuits,CS4120 Computing for Everyone,CS4200/MA4200 Cryptography,,,,,,,,,,,,,AR4100 Drawing,AR4520 Advanced Studio Art,,,,,,,,,,
S500,10/26/2023 21:06:58,12,None of these apply,CS4040 Game Design and Simulation,EN4300 Creative Writing,HU4440 Film Studies,"HU4300 Whose America? Immigrant Experiences, 1910-present",MA4110 Foundations of Data Science,EN4210 African Studies: Modern Africa,"HU4490 Women's, Gender, and Sexuality Studies",HU4420 Digital Humanities,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None,MU4100 Chorale,None,None,None,None,None,None,None,None,None,None
S501,10/20/2023 9:52:47,12,None of these apply,SS4050 AP Psychology,EE4160 Civil Engineering,BI4140 Molecular & Cellular Biol,BI4160 Neuroscience (*R*),SP3652 Navigating in Spanish II,MA4110 Foundations of Data Science,BI4110 Molecular Genetics (*R*),BI4030 Environmental Science (*R*),,,,,,,,,,,,,,,,,,,,
S502,10/29/2023 21:18:05,12,None of these apply,PH4000 Physics Core: E&M,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",PH4150/EE4150 Elements of Satellite Design,PH4000 Physics Core: E&M,,,,,,,,,,,,,,,,,,,,,,,,
S271,10/23/2023 17:45:34,11,None of these apply,SS4050 AP Psychology,EN4600 Research Experience in the Humanities,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None - I'm short/over scheduled,None,None,None,None,None,None,None,None,None,None,None,None
S506,10/29/2023 11:40:14,12,None of these apply,HU4461 Topics in Humanities II,EN4300 Creative Writing,EN4470 STEM and the Stage,"HU4490 Women's, Gender, and Sexuality Studies",,,,,,,,,,,,,,,,,,,,,,,,
S505,10/29/2023 21:18:30,12,None of these apply,CH4130 Organic Chemistry,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4000 Chemistry Core II - Reactions & Energy,,EN4440 Philosophy and Literature in the Twentieth Century,EN4300 Creative Writing,EN4212 East Asian Studies II,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,,,,,,,,,,,,
S179,10/27/2023 1:01:58,11,None of these apply,EE4100 Introductory Robotics,CS4120 Computing for Everyone,EE4020 Electrical Engineering,BI4110 Molecular Genetics (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S238,10/22/2023 11:09:42,11,I have a block conflict (two classes that meet at the same time),,,,,,,,,,,,,,,,,PA1020 Fit for Life,,,,,,,,,,,
S512,10/29/2023 22:11:46,12,None of these apply,EN4242 Western European Cultural Studies II,HU4411 Critical Legal Studies,EN4600 Research Experience in the Humanities,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,
S514,10/29/2023 13:12:12,12,None of these apply,CN4852 AP Chinese Language and Culture II,EN4300 Creative Writing,HU4410 Critical Race Theory,HU4411 Critical Legal Studies,EN4483 Topics in Literature III,EN4300 Creative Writing,HU4410 Critical Race Theory,HU4411 Critical Legal Studies,,,,,,,,,,,,,,,,,,,,
S213,10/29/2023 15:31:52,11,None of these apply,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4180 Astrophysics (*R*),CH4020 AP Chemistry (I): Atoms & Molecules (*M*),,,,,,,,,,,,,,,,,,,,,,,,
S113,10/29/2023 15:34:00,11,None of these apply,LA4050 Caesar in Gaul and Britannia,EE4100 Introductory Robotics,MA4060 Multivariable Calculus,,AS4052 American Studies II,MA4050 Modeling with Differential Equations,,,,,,,,,,,,,,,,,,,,,,
S332,10/20/2023 20:34:33,11,None of these apply,EN4600 Research Experience in the Humanities,PH4241 AP Physics C: E&M,CS4320 Machine Learning,BI4030 Environmental Science (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S204,10/20/2023 14:44:43,11,None of these apply,CS4200/MA4200 Cryptography,MA4050 Modeling with Differential Equations,MA4060 Multivariable Calculus,MA4110 Foundations of Data Science,,,,,,,,,,,,,,,,,,,,,,,,
